QUESTION,BT LEVEL
How would the U.S.A. be different if the South had won the Civil War?,Synthesis
Identify which word begins with the same sound as the s in sun (Knowledge of letter s),Knowledge
Describe in your own words how to borrow a book from the library.,Comprehension
Apply the storytelling technique here to a little story of your own.,Application
Make a diorama to illustrate an important event.,Application
Describe the Pareto Principle in statistical software quality assurance.,Comprehension
who is the founder of the kingdom of saudi Arabia,Knowledge
Explain in your own words what is meant by mercantilism.,Comprehension
Design a testing scenario to assess the susceptibility of an alloy to be used in a given environment?,Synthesis
Which of the following is the method for determining the volume of a cylinder?,Knowledge
How would this story be different if it had happened in a different country?,Analysis
Can you see a possible solution to . . .?,Synthesis
 Label the parts of the microscope shown on the right,Knowledge
in what ways trajectory patterns differ according to ABC,Analysis
State in your own words what the author means when he says,Comprehension
Translate a written text aloud from L2 to English.,Comprehension
"Given the data we've looked at on this topic, evaluate how appropriate this conclusion is and defend your answer.",Evaluation
Tell how Phillip kept himself alive after Timothy died.,Comprehension
Write a letter to the editor on a social issue of concern to you.,Synthesis
Summarize a story in own words.,Comprehension
How to inspect and maintain fresh water plumbing systems properly,Analysis
Summarize a historical document,Comprehension
"Explain what the author means by the statement ""our intellectual powers are geared to master static relations.",Comprehension
Contrast Olympic athletes of today with athletes of past Olympic games.,Analysis
"how do the clauses and expressions given in the article which replace GOTO statements, lead to the three traditional control statements",Synthesis
What do you think about . . .?,Evaluation
Compose an original work which incorporates five common materials in sculpture.,Synthesis
Use tableau methods to prove that the following tableau is valid.,Application
Specify the thickness of a galvanized coating based on atmospheric data? (level 2) ,Application
which part of a data packet is used by a router to determine the destination network,Knowledge
Restate main idea of story in own words.,Comprehension
Compare this book to the last book you read.,Analysis
"Following the identification of the forms of corrosion that were involved in a failure, recommend a solution to avoid this failure?",Synthesis
Calculate the deflection of a beam under uniform loading.,Application
Demonstrate how the seasons occur.,Application
Explain the causes of historical events,Comprehension
Restate the Olympic motto in your own words.,Comprehension
Classify frogs toads and other amphibians.,Comprehension
Construct a model to demonstrate how it will work.,Application
Summarize this magazine article.,Comprehension
Name the food groups and at least two items of food in each group.,Knowledge
Why not compose a song about . . .?,Synthesis
can you devise an explicit formula for,Synthesis
 What happens if you restrict a determinental process to a subset R  S? ,Application
List the procedure to draw a mixed potential or Evans' diagram,Knowledge
Compare historical events to contemporary situations,Comprehension
Name the four major food groups.,Knowledge
 Sketch a prediction of the field lines for the arrangement of electrodes shown in Figure 2,Application
Develop one plausible ending for all three short stories below.,Synthesis
Relate your most powerful story where your use of technology in the classroom has yielded a significant outcome with a student or students,Application
Paraphrase what Hamlet is saying in his soliloquy.,Comprehension
Calculate the rate of habitat fragmentation within the Colorado Front Range in the last decade.,Application
who was the first to compose in the arts of makamat,Knowledge
"After examining the videotape of a play in a football game, determine the degree to which the defensive team performed effectively and",Evaluation
What can I do to investigate this problem further,Analysis
  Describe and compare the role of Islamic law in the legal systems of Malaysia and Pakistan,Comprehension
How would you investigate this abnormality,Analysis
Can you explain what must have happened when . . .?,Analysis
Examine the data in the EMPLOYEES and DEPARTMENTS tables,Analysis
How many kilometers from your home to the university,Knowledge
in which countries is arabic language spoken,Knowledge
Construct a dictionary and a truth table to determine if the following statements are logically equivalent,Application
How many ways can you . . .?,Synthesis
How would you differentiate obstructive apneas from central apneas,Analysis
